material_id,linked_summary_has_structure,structure_nsites_if_parseable,structure_formula_if_available
mp-aaaabmqi,True,52,
mp-aaaabmqj,True,72,
mp-aaaabmqk,True,68,
mp-aaaabmqm,True,30,
mp-aaaabmqo,True,72,
mp-aaaabmqq,True,42,
mp-aaaabmqt,True,72,
mp-aaaabmqu,True,68,
mp-aaaabmqv,True,76,
mp-aaaabmqw,True,72,
mp-aaaabmqx,True,28,
mp-aaaabmqz,True,44,
mp-aaaabmrb,True,36,
mp-aaaabmrd,True,48,
mp-aaaabmre,True,46,
mp-aaaabmrf,True,52,
mp-aaaabmri,True,40,
mp-aaaabmrj,True,44,
mp-aaaabmrk,True,40,
mp-aaaabmrl,True,36,
mp-aaaabmrn,True,52,
mp-aaaabmro,True,46,
mp-aaaabmru,True,68,
mp-aaaabmrw,True,42,
mp-aaaabmsb,True,72,
mp-aaaabmsg,True,22,
mp-aaaabmsj,True,38,
mp-aaaabmsq,True,26,
mp-aaaabmsr,True,16,
mp-aaaabmsv,True,26,
mp-aaaabmsz,True,11,
mp-aaaabmta,True,10,
mp-aaaabmtc,True,48,
mp-aaaabmtf,True,52,
mp-aaaabmtg,True,48,
mp-aaaabmti,True,46,
mp-aaaabmtj,True,52,
mp-aaaabmtk,True,48,
mp-aaaabmtl,True,76,
mp-aaaabmtm,True,72,
mp-aaaabmtn,True,76,
mp-aaaabmtp,True,44,
mp-aaaabmtq,True,40,
mp-aaaabmtr,True,36,
mp-aaaabmtt,True,52,
mp-aaaabmtv,True,52,
mp-aaaabmtw,True,48,
mp-aaaabmtx,True,52,
mp-aaaabmub,True,22,
mp-aaaabmuc,True,20,
mp-aaaabmud,True,44,
mp-aaaabmue,True,40,
mp-aaaabmug,True,40,
mp-aaaabmuk,True,42,
mp-aaaabmul,True,28,
mp-aaaabmum,True,12,
mp-aaaabmun,True,92,
mp-aaaabmup,True,60,
mp-aaaabmuq,True,56,
mp-aaaabmur,True,56,
mp-aaaabmus,True,52,
mp-aaaabmut,True,44,
mp-aaaabmuu,True,40,
mp-aaaabmux,True,11,
mp-aaaabmuy,True,10,
mp-aaaabmvd,True,38,
mp-aaaabmvf,True,44,
mp-aaaabmvg,True,40,
mp-aaaabmvh,True,46,
mp-aaaabmvi,True,42,
mp-aaaabmvl,True,56,
mp-aaaabmvn,True,32,
mp-aaaabmvo,True,30,
mp-aaaabmvr,True,44,
mp-aaaabmvs,True,20,
mp-aaaabmvv,True,48,
mp-aaaabmvx,True,24,
mp-aaaabmwb,True,38,
mp-aaaabmwc,True,36,
mp-aaaabmwd,True,52,
mp-aaaabmwe,True,46,
mp-aaaabmwh,True,76,
mp-aaaabmwj,True,36,
mp-aaaabmwk,True,34,
mp-aaaabmwl,True,76,
mp-aaaabmwo,True,34,
mp-aaaabmwp,True,40,
mp-aaaabmwt,True,36,
mp-aaaabmwy,True,36,
mp-aaaabmwz,True,72,
mp-aaaabmxa,True,68,
mp-aaaabmxd,True,78,
mp-aaaabmxh,True,11,
mp-aaaabmxi,True,10,
mp-aaaabmxl,True,56,
mp-aaaabmxn,True,28,
mp-aaaabmxp,True,72,
mp-aaaabmxr,True,55,
mp-aaaabmxs,True,49,
mp-aaaabmxv,True,52,
mp-aaaabmxz,True,32,
mp-aaaabmya,True,30,
mp-aaaabmyb,True,74,
mp-aaaabmyc,True,66,
mp-aaaabmye,True,34,
mp-aaaabmyf,True,28,
mp-aaaabmyh,True,36,
mp-aaaabmyk,True,34,
mp-aaaabmyl,True,44,
mp-aaaabmym,True,40,
mp-aaaabmyo,True,22,
mp-aaaabmyp,True,92,
mp-aaaabmyr,True,36,
mp-aaaabmyv,True,48,
mp-aaaabmyz,True,52,
mp-aaaabmzb,True,44,
mp-aaaabmzc,True,40,
mp-aaaabmzd,True,22,
mp-aaaabmze,True,20,
mp-aaaabmzh,True,44,
mp-aaaabmzj,True,28,
mp-aaaabmzk,True,13,
mp-aaaabmzn,True,52,
mp-aaaabmzr,True,36,
mp-aaaabmzs,True,34,
mp-aaaabmzu,True,44,
mp-aaaabmzv,True,38,
mp-aaaabmzx,True,36,
mp-aaaabnaa,True,34,
mp-aaaabnab,True,48,
mp-aaaabnae,True,36,
mp-aaaabnaf,True,60,
mp-aaaabnah,True,32,
mp-aaaabnai,True,28,
mp-aaaabnan,True,60,
mp-aaaabnap,True,22,
mp-aaaabnau,True,70,
mp-aaaabnax,True,28,
mp-aaaabnay,True,24,
mp-aaaabnaz,True,72,
mp-aaaabnba,True,68,
mp-aaaabnbd,True,80,
mp-aaaabnbe,True,76,
mp-aaaabnbh,True,44,
mp-aaaabnbj,True,14,
mp-aaaabnbk,True,52,
mp-aaaabnbl,True,76,
mp-aaaabnbm,True,72,
mp-aaaabnbn,True,28,
mp-aaaabnbq,True,22,
mp-aaaabnbt,True,36,
mp-aaaabnbw,True,68,
mp-aaaabnbx,True,48,
mp-aaaabnbz,True,52,
mp-aaaabnca,True,24,
mp-aaaabncf,True,52,
mp-aaaabnch,True,22,
mp-aaaabncj,True,52,
mp-aaaabncn,True,32,
mp-aaaabnco,True,28,
mp-aaaabncq,True,34,
mp-aaaabnct,True,22,
mp-aaaabncv,True,80,
mp-aaaabncw,True,72,
mp-aaaabncx,True,40,
mp-aaaabndb,True,22,
mp-aaaabnde,True,38,
mp-aaaabndh,True,22,
mp-aaaabndi,True,20,
mp-aaaabndl,True,40,
mp-aaaabndo,True,44,
mp-aaaabndq,True,40,
mp-aaaabnds,True,26,
mp-aaaabndt,True,32,
mp-aaaabndu,True,28,
mp-aaaabndx,True,32,
mp-aaaabndz,True,28,
mp-aaaabned,True,74,
mp-aaaabnem,True,22,
mp-aaaabnen,True,28,
mp-aaaabnev,True,40,
mp-aaaabnez,True,44,
mp-aaaabnfa,True,40,
mp-aaaabnfg,True,68,
mp-aaaabnfh,True,28,
mp-aaaabnfr,True,40,
mp-aaaabnfs,True,38,
mp-aaaabnft,True,42,
mp-aaaabnfv,True,48,
mp-aaaabngb,True,36,
mp-aaaabnge,True,40,
mp-aaaabngf,True,52,
mp-aaaabngl,True,32,
mp-aaaabngm,True,30,
mp-aaaabngn,True,36,
mp-aaaabngp,True,40,
mp-aaaabngt,True,28,
mp-aaaabngv,True,72,
mp-aaaabngw,True,68,
mp-aaaabnha,True,44,
mp-aaaabnhc,True,34,
mp-aaaabnhd,True,72,
mp-aaaabnhe,True,68,
mp-aaaabnhf,True,74,
mp-aaaabnhg,True,66,
mp-aaaabnhj,True,44,
mp-aaaabnhn,True,28,
mp-aaaabnhp,True,78,
mp-aaaabnhq,True,69,
mp-aaaabnhr,True,22,
mp-aaaabnhs,True,20,
mp-aaaabnhu,True,40,
mp-aaaabnhv,True,60,
mp-aaaabnhw,True,58,
mp-aaaabnhz,True,44,
mp-aaaabnia,True,40,
mp-aaaabnic,True,68,
mp-aaaabnid,True,14,
mp-aaaabnie,True,13,
mp-aaaabnif,True,42,
mp-aaaabnih,True,56,
mp-aaaabnii,True,48,
mp-aaaabnij,True,36,
mp-aaaabnik,True,34,
mp-aaaabnin,True,60,
mp-aaaabnio,True,56,
mp-aaaabnit,True,36,
mp-aaaabniw,True,40,
mp-aaaabnix,True,60,
mp-aaaabnjc,True,44,
mp-aaaabnjd,True,40,
mp-aaaabnjh,True,80,
mp-aaaabnjj,True,28,
mp-aaaabnjl,True,36,
mp-aaaabnjm,True,34,
mp-aaaabnjn,True,42,
mp-aaaabnjo,True,36,
mp-aaaabnjp,True,44,
mp-aaaabnjq,True,20,
mp-aaaabnjs,True,40,
mp-aaaabnjt,True,28,
mp-aaaabnju,True,26,
mp-aaaabnjv,True,56,
mp-aaaabnkc,True,20,
mp-aaaabnkd,True,44,
mp-aaaabnke,True,40,
mp-aaaabnkf,True,22,
mp-aaaabnkg,True,20,
mp-aaaabnki,True,40,
mp-aaaabnkl,True,32,
mp-aaaabnkm,True,30,
mp-aaaabnkn,True,52,
mp-aaaabnko,True,46,
mp-aaaabnkp,True,44,
mp-aaaabnkq,True,40,
mp-aaaabnkt,True,44,
mp-aaaabnku,True,40,
mp-aaaabnkw,True,40,
mp-aaaabnkx,True,44,
mp-aaaabnla,True,22,
mp-aaaabnlm,True,40,
mp-aaaabnlt,True,36,
mp-aaaabnlx,True,39,
mp-aaaabnlz,True,72,
mp-aaaabnmb,True,40,
mp-aaaabnmd,True,40,
mp-aaaabnme,True,36,
mp-aaaabnmf,True,22,
mp-aaaabnmh,True,60,
mp-aaaabnmi,True,56,
mp-aaaabnmj,True,36,
mp-aaaabnmk,True,34,
mp-aaaabnmp,True,14,
mp-aaaabnmq,True,13,
mp-aaaabnmt,True,32,
mp-aaaabnna,True,72,
mp-aaaabnnb,True,36,
mp-aaaabnnc,True,34,
mp-aaaabnnd,True,40,
mp-aaaabnnf,True,60,
mp-aaaabnng,True,58,
mp-aaaabnnj,True,40,
mp-aaaabnnk,True,36,
mp-aaaabnnn,True,44,
mp-aaaabnno,True,40,
mp-aaaabnnp,True,44,
mp-aaaabnnr,True,36,
mp-aaaabnnt,True,26,
mp-aaaabnnw,True,34,
