target,model_name,split_name,leaky_protocol,clean_protocol,effect_metric,n_paired_folds,mean_effect,median_effect,sd_effect,positive_effect_fraction
average_voltage,ExtraTrees,random_split,P0,P3,spearman_leaky_minus_clean,5,0.06342926684357089,0.06241757731056896,0.008565862773546403,1.0
average_voltage,ExtraTrees,random_split,P4,P1,mae_clean_minus_leaky,5,0.4529926686906774,0.45452771486022614,0.023610527584210367,1.0
average_voltage,ExtraTrees,random_split,P4,P1,rmse_clean_minus_leaky,5,0.6461969227445706,0.6482479584343765,0.032987769928414394,1.0
average_voltage,ExtraTrees,random_split,P4,P1,r2_leaky_minus_clean,5,0.36225896360492077,0.34240173516385086,0.03784086277506423,1.0
average_voltage,ExtraTrees,random_split,P4,P1,spearman_leaky_minus_clean,5,0.2153862918886838,0.2174740308320957,0.010241862334084082,1.0
average_voltage,ExtraTrees,random_split,P4,P2,mae_clean_minus_leaky,5,0.4026311027434167,0.4017149174190709,0.021293544945433816,1.0
average_voltage,ExtraTrees,random_split,P4,P2,rmse_clean_minus_leaky,5,0.5757743725155908,0.5879397330264668,0.023434022617561313,1.0
average_voltage,ExtraTrees,random_split,P4,P2,r2_leaky_minus_clean,5,0.28816327435788425,0.29025900264552185,0.019197928618891746,1.0
average_voltage,ExtraTrees,random_split,P4,P2,spearman_leaky_minus_clean,5,0.1675878081852247,0.1675086933383877,0.0067004324545724345,1.0
average_voltage,ExtraTrees,random_split,P4,P3,mae_clean_minus_leaky,5,0.2978343528140862,0.3027197683670812,0.015194404328652565,1.0
average_voltage,ExtraTrees,random_split,P4,P3,rmse_clean_minus_leaky,5,0.4199636022898501,0.42071370640347167,0.025909527569165383,1.0
average_voltage,ExtraTrees,random_split,P4,P3,r2_leaky_minus_clean,5,0.1551824401525839,0.1564496870456482,0.012809512945649327,1.0
average_voltage,ExtraTrees,random_split,P4,P3,spearman_leaky_minus_clean,5,0.08268369917039668,0.08344374662836973,0.008550142315592103,1.0
average_voltage,Ridge,framework_groupkfold,P0,P1,mae_clean_minus_leaky,5,0.36671213634273914,0.37379646597757227,0.01937537750680615,1.0
average_voltage,Ridge,framework_groupkfold,P0,P1,rmse_clean_minus_leaky,5,0.4069576638515455,0.41496449691218823,0.03793953847484588,1.0
average_voltage,Ridge,framework_groupkfold,P0,P1,r2_leaky_minus_clean,5,0.4139929426314093,0.38326213932478437,0.053176696301790984,1.0
average_voltage,Ridge,framework_groupkfold,P0,P1,spearman_leaky_minus_clean,5,0.318882237802683,0.3249056352881887,0.04392123412794383,1.0
average_voltage,Ridge,framework_groupkfold,P0,P2,mae_clean_minus_leaky,5,0.3409646524987073,0.3423632624453972,0.017978201002708395,1.0
average_voltage,Ridge,framework_groupkfold,P0,P2,rmse_clean_minus_leaky,5,0.38616468914705937,0.3792389677725302,0.035888440912167106,1.0
average_voltage,Ridge,framework_groupkfold,P0,P2,r2_leaky_minus_clean,5,0.38598894774356035,0.37350512679562864,0.04657197872183262,1.0
average_voltage,Ridge,framework_groupkfold,P0,P2,spearman_leaky_minus_clean,5,0.28759418344649973,0.28297371331472976,0.03926494964836824,1.0
average_voltage,Ridge,framework_groupkfold,P0,P3,mae_clean_minus_leaky,5,0.1896554639603139,0.1841117145036406,0.011863718108658505,1.0
average_voltage,Ridge,framework_groupkfold,P0,P3,rmse_clean_minus_leaky,5,0.21438422247090738,0.22165575936182474,0.027394420404630037,1.0
average_voltage,Ridge,framework_groupkfold,P0,P3,r2_leaky_minus_clean,5,0.1844693641681438,0.20237792309563618,0.027554856460817546,1.0
average_voltage,Ridge,framework_groupkfold,P0,P3,spearman_leaky_minus_clean,5,0.13118452504652778,0.12630948195674296,0.026426273255281275,1.0
average_voltage,Ridge,framework_groupkfold,P4,P1,mae_clean_minus_leaky,5,0.6476362842736186,0.6584301010070162,0.03632669150040304,1.0
average_voltage,Ridge,framework_groupkfold,P4,P1,rmse_clean_minus_leaky,5,0.8338410024764837,0.8433130708224412,0.03317989670008669,1.0
average_voltage,Ridge,framework_groupkfold,P4,P1,r2_leaky_minus_clean,5,0.5635294400169433,0.5411570076245655,0.07022415031801967,1.0
average_voltage,Ridge,framework_groupkfold,P4,P1,spearman_leaky_minus_clean,5,0.37615449994826944,0.36740465567153924,0.05171370496891621,1.0
average_voltage,Ridge,framework_groupkfold,P4,P2,mae_clean_minus_leaky,5,0.6218888004295866,0.6400340347372823,0.0323012915577087,1.0
average_voltage,Ridge,framework_groupkfold,P4,P2,rmse_clean_minus_leaky,5,0.8130480277719976,0.8289727532886416,0.04254106713344222,1.0
average_voltage,Ridge,framework_groupkfold,P4,P2,r2_leaky_minus_clean,5,0.5355254451290943,0.5463262317196095,0.06643881738713338,1.0
average_voltage,Ridge,framework_groupkfold,P4,P2,spearman_leaky_minus_clean,5,0.3448664455920862,0.3463704745372914,0.049042752240285356,1.0
average_voltage,Ridge,framework_groupkfold,P4,P3,mae_clean_minus_leaky,5,0.47057961189119324,0.4817824867955256,0.02648604522318434,1.0
average_voltage,Ridge,framework_groupkfold,P4,P3,rmse_clean_minus_leaky,5,0.6412675610958454,0.6429173267859984,0.05027138737002258,1.0
average_voltage,Ridge,framework_groupkfold,P4,P3,r2_leaky_minus_clean,5,0.3340058615536778,0.33866790549556336,0.05238421976861716,1.0
average_voltage,Ridge,framework_groupkfold,P4,P3,spearman_leaky_minus_clean,5,0.18845678719211423,0.1828695260486477,0.03635758854456426,1.0
average_voltage,Ridge,leave_chemical_system_out,P0,P1,mae_clean_minus_leaky,74,0.3422374676537666,0.307255317694837,0.20525136177283712,0.9864864864864865
average_voltage,Ridge,leave_chemical_system_out,P0,P1,rmse_clean_minus_leaky,74,0.3882876661930289,0.3622514900796725,0.21501487006393286,0.9864864864864865
average_voltage,Ridge,leave_chemical_system_out,P0,P1,r2_leaky_minus_clean,74,1.3279909396207388,0.8924253953797083,1.33565948295703,0.9864864864864865
average_voltage,Ridge,leave_chemical_system_out,P0,P1,spearman_leaky_minus_clean,74,0.5344972353696469,0.5238049135215022,0.34901726898704716,0.9324324324324325
average_voltage,Ridge,leave_chemical_system_out,P0,P2,mae_clean_minus_leaky,75,0.31586970218452437,0.2869655085943228,0.18734740486278625,0.9733333333333334
average_voltage,Ridge,leave_chemical_system_out,P0,P2,rmse_clean_minus_leaky,75,0.3663987924678147,0.34691189335792527,0.197339496178039,1.0
average_voltage,Ridge,leave_chemical_system_out,P0,P2,r2_leaky_minus_clean,75,1.2463743969922747,0.8183988948939178,1.2192753774474447,1.0
average_voltage,Ridge,leave_chemical_system_out,P0,P2,spearman_leaky_minus_clean,75,0.46843102758352245,0.4323718386876282,0.3323572183858715,0.96
average_voltage,Ridge,leave_chemical_system_out,P0,P3,mae_clean_minus_leaky,75,0.1845436742521382,0.15728663564797624,0.14789308273948942,0.96
average_voltage,Ridge,leave_chemical_system_out,P0,P3,rmse_clean_minus_leaky,75,0.2082751362212566,0.1713288131341652,0.17798764553201823,0.96
average_voltage,Ridge,leave_chemical_system_out,P0,P3,r2_leaky_minus_clean,75,0.5543413476540974,0.42829772460997717,0.5379887328987218,0.96
average_voltage,Ridge,leave_chemical_system_out,P0,P3,spearman_leaky_minus_clean,75,0.1832561776396745,0.12745098039215685,0.24143626747573052,0.8266666666666667
average_voltage,Ridge,leave_chemical_system_out,P4,P1,mae_clean_minus_leaky,74,0.6027418264476533,0.5352617577871375,0.2801200291037233,1.0
average_voltage,Ridge,leave_chemical_system_out,P4,P1,rmse_clean_minus_leaky,74,0.7245038036427767,0.6574896815915219,0.3018080042104149,1.0
average_voltage,Ridge,leave_chemical_system_out,P4,P1,r2_leaky_minus_clean,74,1.7761854912703037,1.1538806980222467,1.8013307108723573,1.0
average_voltage,Ridge,leave_chemical_system_out,P4,P1,spearman_leaky_minus_clean,74,0.6980042345731803,0.6115739593680152,0.33237818609855313,1.0
average_voltage,Ridge,leave_chemical_system_out,P4,P2,mae_clean_minus_leaky,75,0.5745287827874873,0.5165497451322303,0.2622133148909939,1.0
average_voltage,Ridge,leave_chemical_system_out,P4,P2,rmse_clean_minus_leaky,75,0.7001879761127953,0.653425910812617,0.2848866211230463,1.0
average_voltage,Ridge,leave_chemical_system_out,P4,P2,r2_leaky_minus_clean,75,1.6893096653076785,1.1742010783907872,1.6978801229407126,1.0
average_voltage,Ridge,leave_chemical_system_out,P4,P2,spearman_leaky_minus_clean,75,0.6309007906071992,0.5631578947368422,0.32616529764773233,1.0
