protocol,split_name,fold_id,heldout_group,any_negative_prediction_rate__softconstrained_direct,any_negative_prediction_rate__unconstrained_direct,energy_consistency_mae__softconstrained_direct,energy_consistency_mae__unconstrained_direct,stability_consistency_mae__softconstrained_direct,stability_consistency_mae__unconstrained_direct,energy_consistency_reduction,stability_consistency_reduction,negative_rate_reduction
P1,leave_chemical_system_out,65,Cr-F,0.0,0.125,74.73052215576172,52.49394226074219,0.0093970689922571,0.0308475065976381,-22.23657989501953,0.021450437605380998,0.125
P1,leave_chemical_system_out,66,C-Fe-Na-O-P,0.8571428571428571,0.0,16.00431251525879,46.94932174682617,0.0049100639298558,0.0201616324484348,30.945009231567383,0.015251568518579,-0.8571428571428571
P1,leave_chemical_system_out,67,Cr-Mn-O-P,0.0,0.0,7.726641178131103,25.27733421325684,0.0136456349864602,0.006123102735728,17.550693035125736,-0.0075225322507322,0.0
P1,leave_chemical_system_out,68,Cr-O-Si,0.4285714285714285,0.1428571428571428,29.70501708984375,91.73118591308594,0.0027461904101073,0.0269551910459995,62.02616882324219,0.024209000635892198,-0.2857142857142857
P1,leave_chemical_system_out,69,H-Mn-O-S,0.0,0.5714285714285714,12.367453575134276,58.6202278137207,0.0055112806148827,0.0122474255040287,46.252774238586426,0.006736144889146,0.5714285714285714
P1,leave_chemical_system_out,70,H-O-P-V,0.0,0.8571428571428571,14.576207160949709,110.2458953857422,0.00805539265275,0.0255478732287883,95.6696882247925,0.017492480576038298,0.8571428571428571
P1,leave_chemical_system_out,71,Mn-O-S,0.1428571428571428,0.4285714285714285,11.807503700256348,26.89794540405273,0.0150987012311816,0.0055210515856742,15.090441703796383,-0.009577649645507402,0.2857142857142857
P1,leave_chemical_system_out,72,S-V,1.0,0.0,8.493791580200195,103.34784698486328,0.0082940217107534,0.0302390605211257,94.85405540466309,0.0219450388103723,-1.0
P1,leave_chemical_system_out,73,Co-O-Ti,0.0,0.0,12.87940788269043,38.2291259765625,0.0111348824575543,0.0046259700320661,25.34971809387207,-0.006508912425488201,0.0
P1,leave_chemical_system_out,74,Mo-Se,0.0,0.1428571428571428,29.840160369873047,6.824100017547607,0.007821574807167,0.0156623031944036,-23.01606035232544,0.0078407283872366,0.1428571428571428
P1,leave_family_out,0,polyanion_phosphate_like,0.9310051107325384,0.0255536626916524,75.50308990478516,150.64695739746094,0.0266689229756593,0.0229965839534997,75.14386749267578,-0.0036723390221596007,-0.9054514480408861
P1,leave_family_out,1,transition_metal_oxide_like,0.3606138107416879,0.2762148337595907,48.02276611328125,75.54682922363281,0.0217968393117189,0.0320449061691761,27.524063110351562,0.010248066857457203,-0.0843989769820972
P1,leave_family_out,2,halide_or_fluoride_like,0.4349593495934959,0.1422764227642276,41.284210205078125,58.86238098144531,0.021774586290121,0.0255388412624597,17.578170776367188,0.0037642549723387007,-0.29268292682926833
P1,leave_family_out,3,oxyfluoride_or_fluoropolyanion_like,0.1493212669683258,0.1085972850678733,72.80280303955078,79.28851318359375,0.0126265827566385,0.0254347901791334,6.485710144042969,0.012808207422494902,-0.04072398190045248
P1,leave_family_out,4,silicate_like,0.0610687022900763,0.1450381679389313,37.27188873291016,41.852046966552734,0.006497370544821,0.0163269080221653,4.580158233642571,0.009829537477344299,0.08396946564885499
P1,leave_family_out,5,sulfate_or_sulfur_oxoanion_like,0.6226415094339622,0.0566037735849056,37.88648986816406,166.295654296875,0.0195744019001722,0.0397057570517063,128.40916442871094,0.0201313551515341,-0.5660377358490566
P1,leave_family_out,6,other_or_unclear,0.1428571428571428,0.6666666666666666,47.48740768432617,65.53495025634766,0.0083742653951048,0.0175659507513046,18.047542572021484,0.009191685356199799,0.5238095238095238
P1,leave_family_out,7,sulfide_like,0.7272727272727273,0.0909090909090909,31.456478118896484,100.05133056640624,0.008991421200335,0.0454360358417034,68.59485244750975,0.0364446146413684,-0.6363636363636364
P1,leave_family_out,8,oxide_like_other,0.1363636363636363,0.0909090909090909,28.51621627807617,48.14302062988281,0.0151837076991796,0.0226234886795282,19.626804351806644,0.007439780980348601,-0.0454545454545454
P1,leave_family_out,9,organic_or_carbon_like,0.0,0.0,27.01433181762696,55.8380241394043,0.0096260569989681,0.0156113803386688,28.823692321777337,0.005985323339700701,0.0
P1,leave_working_ion_out,0,Li,0.1993980436418359,0.0752445447705041,50.77701568603516,71.28221130371094,0.0275434050709009,0.0344880707561969,20.505195617675774,0.006944665685296,-0.12415349887133179
P1,leave_working_ion_out,1,Na,0.2538071065989847,0.233502538071066,32.31461715698242,60.045677185058594,0.0125835724174976,0.0228693671524524,27.731060028076172,0.0102857947349548,-0.020304568527918704
P1,leave_working_ion_out,2,K,0.1812080536912751,0.4228187919463087,27.823841094970703,130.30706787109375,0.0124717410653829,0.0226292163133621,102.48322677612305,0.0101574752479792,0.24161073825503362
P1,random_split,0,random_0,0.0998439937597504,0.0842433697347894,18.89748764038086,39.59897613525391,0.0094833401963114,0.0142481951043009,20.701488494873054,0.0047648549079895,-0.015600624024960999
P1,random_split,1,random_1,0.0842433697347894,0.1232449297971918,17.808385848999023,39.05868148803711,0.0102868219837546,0.01779056340456,21.250295639038086,0.007503741420805399,0.03900156006240241
P1,random_split,2,random_2,0.0312012480499219,0.0920436817472698,18.86404228210449,41.381622314453125,0.0098524335771799,0.0165163092315197,22.517580032348636,0.006663875654339799,0.0608424336973479
P1,random_split,3,random_3,0.0858034321372854,0.0717628705148206,19.628395080566406,40.06682586669922,0.0109350867569446,0.0167137589305639,20.438430786132812,0.005778672173619298,-0.014040561622464809
P1,random_split,4,random_4,0.078003120124805,0.0577223088923556,18.07469940185547,43.29045486450195,0.0107185496017336,0.0174100138247013,25.215755462646484,0.006691464222967699,-0.020280811232449396
P2,framework_groupkfold,0,K|AgAsF6|K|Ca9Co(PO4)7|K|CoF3|K|Cr2(PS4)3|K|CrO2|K|CrP2S7|K|Cs2CrF6|K|Cs2NiF6|K|Cu4(PO4)3|K|FeNi(CN)6|K|FeSe|K|Lu(NbCl3)6|K|Mn6P7O24|K|MnPCO7|K|Mo2P3O13|K|MoCl6|K|NaMoF6|K|NbO3|K|Ni3P3O11|K|NiH8(CO5)2,0.1248049921996879,0.1310452418096724,20.988943099975582,41.26917266845703,0.0094942962750792,0.0163584873080253,20.28022956848145,0.006864191032946101,0.006240249609984497
P2,framework_groupkfold,1,K|C|K|Co2O5|K|CoPCO7|K|CrO3|K|Cs2CoF6|K|Cs2MoCl6|K|Cs2TaCl6|K|FeH4(SO5)2|K|FeSb3|K|LiVF6|K|MgMn4O8|K|Mn4(PO4)3|K|MnF3|K|MnO2|K|MnP2O7|K|Mo9S11|K|NaCrF6|K|NbO2F|K|Ni(PO3)3|K|NiH12(SO7)2,0.0515625,0.071875,20.52107620239257,44.92825698852539,0.010532428510487,0.0172564033418893,24.40718078613282,0.006723974831402302,0.020312499999999997
