target,protocol,model_name,split_name,random_rmse_mean,split_rmse_mean,rmse_delta_vs_random,rmse_ratio_vs_random,random_mae_mean,split_mae_mean,mae_delta_vs_random,random_r2_mean,split_r2_mean,r2_delta_vs_random,n_folds_split
average_voltage,P0,Ridge,framework_groupkfold,0.43433900419869104,0.42856535816467767,-0.005773646034013369,0.9867070514547384,0.2753179179285198,0.2820303698031732,0.006712451874653413,0.841166912685557,0.8504611696787541,0.009294256993197081,5
average_voltage,P0,Ridge,leave_chemical_system_out,0.43433900419869104,0.33482954875325904,-0.099509455445432,0.7708944983446369,0.2753179179285198,0.25946511641473535,-0.01585280151378443,0.841166912685557,0.5570604604621517,-0.28410645222340525,75
average_voltage,P0,Ridge,leave_family_out,0.43433900419869104,1.4369382788295053,1.0025992746308143,3.3083335020314433,0.2753179179285198,1.0745110678758396,0.7991931499473198,0.841166912685557,-5.128477029579918,-5.969643942265475,10
average_voltage,P0,Ridge,leave_working_ion_out,0.43433900419869104,1.994268902427665,1.559929898228974,4.591503141899212,0.2753179179285198,1.7274235232557178,1.4521056053271981,0.841166912685557,-1.924622612683681,-2.7657895253692377,3
average_voltage,P0,Ridge,random_split,0.43433900419869104,0.43433900419869104,0.0,1.0,0.2753179179285198,0.2753179179285198,0.0,0.841166912685557,0.841166912685557,0.0,5
average_voltage,P1,DummyMean,framework_groupkfold,1.0937852257806249,1.1198603299523873,0.026075104171762398,1.0238393274631707,0.860239931890559,0.8831516489783056,0.02291171708774653,-0.0026387503296747216,-0.005914158557477985,-0.0032754082278032633,5
average_voltage,P1,DummyMean,leave_chemical_system_out,1.0937852257806249,0.8935786767389893,-0.2002065490416356,0.8169599073723546,0.860239931890559,0.7628346977185362,-0.09740523417202285,-0.0026387503296747216,-2.7500647112963374,-2.747425960966663,75
average_voltage,P1,DummyMean,leave_family_out,1.0937852257806249,1.3731283150874478,0.27934308930682294,1.2553911707003158,0.860239931890559,1.1739831786311046,0.31374324674054554,-0.0026387503296747216,-2.183877931244174,-2.1812391809144995,10
average_voltage,P1,DummyMean,leave_working_ion_out,1.0937852257806249,1.2259619234832415,0.13217669770261664,1.1208433745375226,0.860239931890559,1.0022884933121337,0.14204856142157463,-0.0026387503296747216,-0.0596458236724303,-0.05700707334275558,3
average_voltage,P1,DummyMean,random_split,1.0937852257806249,1.0937852257806249,0.0,1.0,0.860239931890559,0.860239931890559,0.0,-0.0026387503296747216,-0.0026387503296747216,0.0,5
average_voltage,P1,ExtraTrees,framework_groupkfold,0.6566288574692736,0.6665823879667497,0.00995353049747616,1.0151585334458773,0.4564415909664291,0.48154837781170573,0.02510678684527662,0.6376457619738616,0.6403091760057005,0.0026634140318388955,5
average_voltage,P1,ExtraTrees,leave_chemical_system_out,0.6566288574692736,0.6685541018779807,0.011925244408707125,1.018161316355587,0.4564415909664291,0.5454144681290563,0.08897287716262714,0.6376457619738616,-0.5877035589976429,-1.2253493209715045,75
average_voltage,P1,ExtraTrees,leave_family_out,0.6566288574692736,0.9956334576101632,0.3390046001408896,1.5162803862252627,0.4564415909664291,0.8087096261995494,0.35226803523312034,0.6376457619738616,-0.11352866143435261,-0.7511744234082142,10
