protocol,split_name,fold_id,heldout_group,model_variant,n_test,energy_consistency_mae,energy_consistency_rmse,stability_consistency_mae,stability_consistency_rmse,any_negative_prediction_rate,mean_negative_outputs_per_record
P1,leave_chemical_system_out,8,Mo-O-P,unconstrained_hardderived,61,0.0,0.0,0.0,0.0,0.2459016393442623,0.2459016393442623
P1,leave_chemical_system_out,8,Mo-O-P,softconstrained_direct,61,24.80536460876465,29.95988273620605,0.0095716780051589,0.0105951149016618,0.6229508196721312,0.6229508196721312
P1,leave_chemical_system_out,8,Mo-O-P,softconstrained_hardderived,61,0.0,0.0,0.0,0.0,0.6229508196721312,0.6229508196721312
P1,leave_chemical_system_out,9,Mn-O,unconstrained_direct,50,57.26155853271485,62.259552001953125,0.0139584299176931,0.0191476307809352,0.0,0.0
P1,leave_chemical_system_out,9,Mn-O,unconstrained_hardderived,50,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_chemical_system_out,9,Mn-O,softconstrained_direct,50,49.94303894042969,55.76287078857422,0.0125116975978016,0.0141957607120275,0.0,0.0
P1,leave_chemical_system_out,9,Mn-O,softconstrained_hardderived,50,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_chemical_system_out,10,O-V,unconstrained_direct,49,28.843137741088867,35.81039810180664,0.0077811237424612,0.0099088866263628,0.5306122448979592,0.5510204081632653
P1,leave_chemical_system_out,10,O-V,unconstrained_hardderived,49,0.0,0.0,0.0,0.0,0.5306122448979592,0.5306122448979592
P1,leave_chemical_system_out,10,O-V,softconstrained_direct,49,27.811532974243164,30.426353454589844,0.0158180128782987,0.0165292248129844,0.0,0.0
P1,leave_chemical_system_out,10,O-V,softconstrained_hardderived,49,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_chemical_system_out,11,F-Mn,unconstrained_direct,43,86.53834533691406,100.6488265991211,0.0302169192582368,0.0331852249801158,0.0930232558139534,0.0930232558139534
P1,leave_chemical_system_out,11,F-Mn,unconstrained_hardderived,43,0.0,0.0,0.0,0.0,0.0930232558139534,0.0930232558139534
P1,leave_chemical_system_out,11,F-Mn,softconstrained_direct,43,23.36601448059082,27.593772888183597,0.0192489214241504,0.021492937579751,0.0,0.0
P1,leave_chemical_system_out,11,F-Mn,softconstrained_hardderived,43,0.0,0.0,0.0,0.0,0.0,0.0
P1,leave_chemical_system_out,12,Fe-O,unconstrained_direct,40,55.74893951416016,68.00808715820312,0.0099789341911673,0.0118516916409134,0.25,0.275
P1,leave_chemical_system_out,12,Fe-O,unconstrained_hardderived,40,0.0,0.0,0.0,0.0,0.05,0.05
